series_id,week_number,start_date,end_date,home_team_id,away_team_id,series_length
510,19,8/4/2026,8/5/2026,140,137,3
511,19,8/4/2026,8/5/2026,117,141,3
512,19,8/4/2026,8/5/2026,115,139,3
513,19,8/4/2026,8/6/2026,110,108,3
514,19,8/4/2026,8/6/2026,114,121,3
515,19,8/4/2026,8/6/2026,113,133,3
516,19,8/4/2026,8/6/2026,111,145,3
517,19,8/5/2026,8/6/2026,136,116,3
518,20,8/7/2026,8/9/2026,134,121,3
519,20,8/7/2026,8/9/2026,143,141,3
520,20,8/7/2026,8/9/2026,120,113,3
521,20,8/7/2026,8/9/2026,147,144,3
522,20,8/7/2026,8/9/2026,111,133,3
523,20,8/7/2026,8/9/2026,146,108,3
524,20,8/7/2026,8/9/2026,158,142,3
525,20,8/8/2026,8/9/2026,140,110,3
526,20,8/8/2026,8/9/2026,118,112,3
527,20,8/8/2026,8/9/2026,138,115,3
528,20,8/8/2026,8/10/2026,135,117,3
529,20,8/8/2026,8/9/2026,136,139,3
530,20,8/8/2026,8/9/2026,137,116,3
531,20,8/10/2026,8/12/2026,142,110,3
532,20,8/10/2026,8/12/2026,138,143,3
533,20,8/11/2026,8/12/2026,133,139,3
534,20,8/11/2026,8/12/2026,135,158,3
535,20,8/11/2026,8/12/2026,137,117,3
536,20,8/11/2026,8/13/2026,119,118,3
537,20,8/11/2026,8/13/2026,146,134,3
538,20,8/11/2026,8/13/2026,120,112,3
539,20,8/11/2026,8/13/2026,147,136,3
540,20,8/11/2026,8/13/2026,145,113,3
541,21,8/13/2026,8/16/2026,142,143,3
542,21,8/14/2026,8/16/2026,119,158,4
543,21,8/14/2026,8/16/2026,113,146,3
544,21,8/14/2026,8/16/2026,134,111,3
545,21,8/14/2026,8/16/2026,114,135,3
546,21,8/14/2026,8/16/2026,144,109,3
547,21,8/15/2026,8/16/2026,108,118,3
548,21,8/17/2026,8/19/2026,134,116,3
549,21,8/17/2026,8/19/2026,111,109,3
550,21,8/17/2026,8/19/2026,121,135,3
551,21,8/17/2026,8/20/2026,118,133,4
552,21,8/17/2026,8/19/2026,142,144,3
553,21,8/18/2026,8/19/2026,112,145,3
554,21,8/18/2026,8/20/2026,114,137,3
555,21,8/18/2026,8/20/2026,158,136,3
556,21,8/19/2026,8/21/2026,140,120,3
557,22,8/21/2026,8/23/2026,158,144,3
558,22,8/21/2026,8/23/2026,143,138,3
559,22,8/21/2026,8/23/2026,111,137,3
560,22,8/21/2026,8/23/2026,145,121,3
561,22,8/22/2026,8/23/2026,115,114,3
562,22,8/22/2026,8/23/2026,109,113,3
563,22,8/22/2026,8/23/2026,135,142,3
564,22,8/22/2026,8/23/2026,119,134,3
565,22,8/22/2026,8/23/2026,136,112,3
566,22,8/24/2026,8/26/2026,116,139,3
567,22,8/24/2026,8/26/2026,146,111,3
568,22,8/24/2026,8/27/2026,120,115,4
569,22,8/24/2026,8/26/2026,145,140,3
570,22,8/25/2026,8/26/2026,108,114,3
571,22,8/25/2026,8/26/2026,109,112,3
572,22,8/25/2026,8/26/2026,135,134,3
573,22,8/25/2026,8/27/2026,133,142,3
574,22,8/25/2026,8/26/2026,136,143,3
575,22,8/25/2026,8/26/2026,137,113,3
